"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","superphylum","phylum","subphylum","class","subclass","order","below_order","below_below_order","suborder","family","below_family","genus","species_group","species","below_species","below_below_species","subspecies","below_subspecies"
"1685","1678","species","Bifidobacterium breve","1","131567","2","","","","201174","","1760","85003","85004","","","","31953","","1678","","1685","","","",""
"216816","1678","species","Bifidobacterium longum","1","131567","2","","","","201174","","1760","85003","85004","","","","31953","","1678","","216816","","","",""
"239268","1696","species","Brevibacterium antarcticum","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85019","","1696","","239268","","","",""
"33889","1696","species","Brevibacterium casei","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85019","","1696","","33889","","","",""
"31943","1696","species","Brevibacterium iodinum","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85019","","1696","","31943","","","",""
"199591","1696","species","Brevibacterium luteolum","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85019","","1696","","199591","","","",""
"170994","1696","species","Brevibacterium paucivorans","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85019","","1696","","170994","","","",""
"479117","1696","species","Brevibacterium ravenspurgense","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85019","","1696","","479117","","","",""
"119231","194","species","Campylobacter faecalis","1","131567","2","","","","1224","68525","29547","","213849","","","","72294","","194","","119231","","","",""
"76517","194","species","Campylobacter hominis","1","131567","2","","","","1224","68525","29547","","213849","","","","72294","","194","","76517","","","",""
"827","194","species","Campylobacter ureolyticus","1","131567","2","","","","1224","68525","29547","","213849","","","","72294","","194","","827","","","",""
"95818_1","95818","species","Candidate Division TM7 vaginal","1","131567","2","2323","95818","","","","","","","","","","","","","","95818_1","","","",""
"209446","2093","species","Candidatus Mycoplasma haemominutum","1","131567","2","","","","544448","","31969","","2085","","","","2092","","2093","","209446","","","",""
"35703","544","species","Citrobacter amalonaticus","1","131567","2","","","","1224","","1236","","91347","","","","543","","544","","35703","","","",""
"546","544","species","Citrobacter freundii","1","131567","2","","","","1224","","1236","","91347","","","","543","","544","","546","","","",""
"545","544","species","Citrobacter koseri","1","131567","2","","","","1224","","1236","","91347","","","","543","","544","","545","","","",""
"67829","544","species","Citrobacter murliniae","1","131567","2","","","","1224","","1236","","91347","","","","543","","544","","67829","","","",""
"67825","544","species","Citrobacter rodentium","1","131567","2","","","","1224","","1236","","91347","","","","543","","544","","67825","","","",""
"699245","39779","species","Clostridiales genomosp. BVAB3","1","131567","2","","","","1239","","186801","","186802","186813","39779","","","","","","699245","","","",""
"1491","1485","species","Clostridium botulinum","1","131567","2","","","","1239","","186801","","186802","","","","31979","","1485","","1491","","","",""
"179628","1485","species","Clostridium colicanis","1","131567","2","","","","1239","","186801","","186802","","","","31979","","1485","","179628","","","",""
"1502","1485","species","Clostridium perfringens","1","131567","2","","","","1239","","186801","","186802","","","","31979","","1485","","1502","","","",""
"29367","1485","species","Clostridium puniceum","1","131567","2","","","","1239","","186801","","186802","","","","31979","","1485","","29367","","","",""
"84030","1485","species","Clostridium saccharolyticum","1","131567","2","","","","1239","","186801","","186802","","","","31979","","1485","","84030","","","",""
"1515","1485","species","Clostridium thermocellum","1","131567","2","","","","1239","","186801","","186802","","","","31979","","1485","","1515","","","",""
"43765","1716","species","Corynebacterium amycolatum","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","43765","","","",""
"53374","1716","species","Corynebacterium coyleae","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","53374","","","",""
"39791","1716","species","Corynebacterium glucuronolyticum","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","39791","","","",""
"38289","1716","species","Corynebacterium jeikeium","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","38289","","","",""
"161889","1716","species","Corynebacterium lipophiloflavum","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","161889","","","",""
"598660","1716","species","Corynebacterium pyruviciproducens","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","598660","","","",""
"146827","1716","species","Corynebacterium simulans","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","146827","","","",""
"43770","1716","species","Corynebacterium striatum","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","43770","","","",""
"161902","1716","species","Corynebacterium sundsvallense","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","161902","","","",""
"38304","1716","species","Corynebacterium tuberculostearicum","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","1716","","38304","","","",""
"309120","39948","species","Dialister micraerophilus","1","131567","2","","","","1239","","909932","","909929","","","","31977","","39948","","309120","","","",""
"308994","39948","species","Dialister propionicifaciens","1","131567","2","","","","1239","","909932","","909929","","","","31977","","39948","","308994","","","",""
"39948_2","39948","species","Dialister sp. type 2","1","131567","2","","","","1239","","909932","","909929","","","","31977","","39948","","39948_2","","","",""
"204038","204037","species","Dickeya dadantii","1","131567","2","","","","1224","","1236","","91347","","","","543","","204037","","204038","","","",""
"204039","204037","species","Dickeya dianthicola","1","131567","2","","","","1224","","1236","","91347","","","","543","","204037","","204039","","","",""
"69223","204037","species","Dickeya paradisiaca","1","131567","2","","","","1224","","1236","","91347","","","","543","","204037","","69223","","","",""
"204042","204037","species","Dickeya zeae","1","131567","2","","","","1224","","1236","","91347","","","","543","","204037","","204042","","","",""
"84112","84111","species","Eggerthella lenta","1","131567","2","","","","201174","","1760","84998","84999","","","255727","84107","","84111","","84112","","","",""
"242230","84111","species","Eggerthella sinensis","1","131567","2","","","","201174","","1760","84998","84999","","","255727","84107","","84111","","242230","","","",""
"84111_1","84111","species","Eggerthella sp. type 1","1","131567","2","","","","201174","","1760","84998","84999","","","255727","84107","","84111","","84111_1","","","",""
"548","547","species","Enterobacter aerogenes","1","131567","2","","","","1224","","1236","","91347","","","","543","","547","","548","","","",""
"61646","547","species","Enterobacter amnigenus","1","131567","2","","","","1224","","1236","","91347","","","","543","","547","","61646","","","",""
"556","204037","species","Erwinia chrysanthemi","1","131567","2","","","","1224","","1236","","91347","","","","543","","204037","","556","","","",""
"208962","561","species","Escherichia albertii","1","131567","2","","","","1224","","1236","","91347","","","","543","","561","","208962","","","",""
"563","561","species","Escherichia blattae","1","131567","2","","","","1224","","1236","","91347","","","","543","","561","","563","","","",""
"562","561","species","Escherichia coli","1","131567","2","","","","1224","","1236","","91347","","","","543","","561","","562","","","",""
"564","561","species","Escherichia fergusonii","1","131567","2","","","","1224","","1236","","91347","","","","543","","561","","564","","","",""
